issues_id,jira_id,title,root_cause_type_id,root_cause_sub_type_id,area_id,component,sub_component,susqa_label,topology,min_topology,version,fix_version,regression,upgrading_related,migration,doc_needed,created_date,resovled_date,detailed_analysis,new_test_required,suggestion,new_cases_added,priority,related_customer_cases,related_components,Resolution,internal_caught,platform_specific,sus_automated,reviewed,sus_automated_status,display_version,total_cases,code_change,test_gap_id,improvement_role_id,"CONVERT(i.detailed_analysis USING utf8)",root_cause_type_name,root_cause_sub_type_name,area,test_gap_type_name,role_name
369,SPL-130207,"Splunkforwarder 6.5.0 - AIX - splunkd crashes when shutting down",4,16,1,"Universal Forwarder","Universal Forwarder","Not labeled",DS/DC,DS/DC,"6.5.0 GA (Ivory)",6.5.2,TRUE,FALSE,FALSE,FALSE,"2016-10-12 02:29:00","2016-11-03 02:29:00",...,NULL,NULL,0,Major,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,3,5," the problem here is screwed up shutdown handling in DC + PhoneHome. We're just not clearing DC connections on shutdown ","Insufficient test","Feature is not covered",Backend,"BACKEND FUNCTIONAL TEST","TEST COVERAGE"
370,SPL-130183,"Drilldown search for the ""Search scheduler skip ratio"" Monitoring Console health-check runs against all time instead of last 60 minutes",4,16,2,DMC,DMC,"Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory), 6.5.1",Kimono,FALSE,FALSE,FALSE,FALSE,"2016-10-12 02:29:00","2016-12-02 02:29:00",...,NULL,NULL,0,Critical,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,2,5,"There appears to be a bug in splunk_monitoring_console\default\checklist.conf.
After running the Health Checks, the GUI drill-down for ""Search scheduler skip ratio"" states ""This checks whether scheduled searches were skipped in the past hour."", but that is not correct. It actually searches all time instead of the last 60 minutes.
I added earliest=-60m to the configuration to resolve it.","Insufficient test","Feature is not covered",UI,"UI FUNCTIONAL","TEST COVERAGE"
371,SPL-130119,"azerty keyboard (French) cannot type a number using DATASET",4,37,2,SplunkWeb,Datasets,"Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory)",6.5.2,FALSE,FALSE,FALSE,FALSE,"2016-10-12 02:29:00","2016-11-18 02:29:00",...,NULL,NULL,0,Minor,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,2,5,"Problem Evaluation:
Using French Azerty keyboard, number cannot be entered into the text input field. In Azerty keyboard number can be entered only using shift key combination (Shift + 1 for 1). If shift key is pressed, we are preventing the default event which causes this issue.
Resolution:
KeyboardEvent.key readonly property is used for deciding the value of the key pressed instead of ev.which property. https://developer.mozilla.org/en-US/docs/Web/API/KeyboardEvent/key If the key property is not available then keyboardUtil.isNumber method is used. From my testing only safari is not supporting KeyboardEvent.key property.","Insufficient test",Globalization,UI,"UI FUNCTIONAL","TEST COVERAGE"
372,SPL-130025,"Order of Apps in dropdown menu not consistent from Launcher Home",4,16,2,SplunkWeb,"App Browser","Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory)",6.5.1,TRUE,TRUE,FALSE,FALSE,"2016-10-10 02:29:00","2016-10-26 02:29:00",...,NULL,NULL,0,Minor,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,2,5,"Problem Evaluation:
In 6.5 userpref model is passed during the creation of splunkbar and the apps are not sorted based on the user preference.
In 6.4 userpref model is NOT passed during the creation of splunkbar. User preference is fetched first and then apps are sorted.
Resolution:
Apps are now sorted based on the user preference.","Insufficient test","Feature is not covered",UI,"UI FUNCTIONAL","TEST COVERAGE"
373,SPL-129871,"Changing the timerange value from the edit input dropdown, does not update the timerange value of the time input element on the dashboard",4,16,2,SplunkWeb,"Dashboard Editor","Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory)",6.5.2,TRUE,FALSE,FALSE,FALSE,"2016-10-07 02:29:00","2016-12-02 02:29:00",...,NULL,NULL,0,Minor,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,2,5,"Problem Evaluation:
There are 2 issues here:
When you add a time input and change the timerange value from the edit dropdown, the form input time element is not updated with new values.
When you have different values for default timerange settings in the edit dropdown and for actual form input time element and if you switch to some other input type from edit dropdown and then switch back to the time input, the default timerange value is changed to the value of actual form input time element.
For the first issue, we are not explicitly mentioning the earliest and latest timerange values while adding the time input
For the second issue, we were unsetting the default property of time input whenever we would change the form input type to anything other than time. So, in this case when you go back to the time input, since now there is no default property, the default timerange value would be same as what we have for the form time input element.
Note: Its not necessary to have the same timerange values for form input time element and for timerange in the edit dropdown. The default timerange value is something which will always be used whenever you load the dashboard. Once the dashboard is loaded, you can keep changing the timerange value from the form input type element. After this when you reload the dashboard, the timerange will be set back to the value which is in the default timerange under the edit dropdown.
Resolution:
For the first issue, added the default earliest and latest values (all-time) for adding a new input.
For the second issue, added a fix where we would store the default timerange value in a variable which can be used later if we switch back to the time input again. This will prevent the default timerange value from changing when you switch to different input type or back to time input.","Insufficient test","Feature is not covered",UI,"UI FUNCTIONAL","TEST COVERAGE"
374,SPL-129870,"PDF and CSV attachments don't show up when viewing email on iPhone's default mail application",4,16,2,SplunkWeb,Alerting,"Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory)",6.5.2,TRUE,FALSE,FALSE,FALSE,"2016-10-07 02:29:00","2016-10-12 02:29:00",...,NULL,NULL,0,Major,1,NULL,Fixed,FALSE,"Cross Platforms",SQA-5783,0,n/a,"Ivory (6.5.x)",123,True,2,5,"Problem Evaluation:
There were several changes made in SPL-126393 for the 6.5 release
For the HTML emails, the _subtype of MIMEMultipart was changed from ""mixed"" to ""related"" which was not working for iPhone's default mail application
Resolution:
Went through the MIMEMultipart documentation and did a research online. Finally found out that we should use ""mixed"" as _subtype of MIMEMultipart.
Here are couple of links where other users also confirmed that we should use ""mixed"":
http://stackoverflow.com/questions/23397654/python-smtplib-sendmail-mime-multipart-body-doesnt-shown-on-iphone
http://stackoverflow.com/questions/28418491/why-does-iphone-not-display-attachments-sent-by-python-2-7-x","Insufficient test","Feature is not covered",UI,"UI FUNCTIONAL","TEST COVERAGE"
375,SPL-129638,"Search returns error ""Application does not exist: appname"" when running the search from user created app",12,57,1,Search,"Search - Distributed","Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory)",6.5.1,FALSE,FALSE,FALSE,FALSE,"2016-10-04 02:29:00","2016-10-28 02:29:00",...,NULL,NULL,0,Major,1,NULL,Delivered,FALSE,Windows,NO,0,n/a,"Ivory (6.5.x)",123,False,99,7,"Shorten their path lengths to meet windows length limit fixed issue
Around the root cause of the issue there is a ticket open to better document how to best avoid hitting the limit when creating a deployment. SPL-129334","False Alarm",Invalid,Backend,"NOT SET","FALSE ALARM"
376,SPL-129476,"search is always ""parsing job...."" after upgrading to 6.5",3,11,2,SplunkWeb,"Search - UI","Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory), 6.5.1",6.5.1,TRUE,TRUE,FALSE,FALSE,"2016-09-29 02:29:00","2016-10-14 02:29:00",...,NULL,NULL,0,Minor,4,NULL,Workaround,TRUE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,False,1,4,"Investigation
If stale files remain in the cache after the upgrade we see javascript error son the console which do not let the search page to display results. During my troubleshooting on the dev tools, cache clearing happened often. So the repro kept vanishing away. Based on the error from i18n.js (Type Error: _i18n_plural is not a function) seen on the console we could find a relevent jira - https://jira.splunk.com/browse/SPL-121616
Resolution
Clearing browser cache fixes the issue. Resolving this issue for now. Working with core dev to see if we can create a story to fix this issue for a future release.","Coding flaws","Code not to requirements",UI,"DEV TEST","CODING STANDARD"
377,SPL-111939,"The report ""save as report"" and ""edit search"" dialogs allow to accelerate a search that uses macros, eventtypes or tags even though we do not fully support that",4,24,2,SplunkWeb,"Search - UI","Not labeled",Standalone,Standalone,"6.5.0 GA (Ivory), 6.5.1",6.3.5,FALSE,FALSE,FALSE,FALSE,"2016-01-07 02:29:00","2016-03-31 02:29:00",...,NULL,NULL,0,Major,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Ivory (6.5.x)",123,True,2,5,"Both the report ""save as report"" and ""edit search"" dialogs allow to accelerate a search that uses macros, eventtypes or tags even though we do not fully support that - see SPL-110796.","Insufficient test","Missing test check point",UI,"UI FUNCTIONAL","TEST COVERAGE"
378,SPL-130117,"diag fails to run on system where sslConfig is missing from server.conf",4,16,1,Diag,Diag,"Not labeled",Standalone,Standalone,"6.4.0 GA (Galaxy)",None,FALSE,FALSE,FALSE,FALSE,"2016-10-12 02:29:00","2016-10-26 02:29:00",...,NULL,NULL,0,Major,1,NULL,Fixed,FALSE,"Cross Platforms",NO,0,n/a,"Galaxy (6.4.x)",123,True,3,5,"Attempted to run ""splunk diag"" and received the error message of ""An error occurred: no 'sslConfig' stanza exists in server.conf. Your configuration may be corrupt or may require a restart"" if there is no sslConfig config in server.conf","Insufficient test","Feature is not covered",Backend,"BACKEND FUNCTIONAL TEST","TEST COVERAGE"
